73: Patient996244487_study_0, CG Dice=0.3010, PZ Dice=0.2488, prostate Dice=0.7715, CG Dist=9.1125, PZ Dist=4.6098, prostate Dist=2.6926
74: Patient896555169_study_0, CG Dice=0.4174, PZ Dice=0.0124, prostate Dice=0.8458, CG Dist=7.0178, PZ Dist=10.7005, prostate Dist=1.5811
75: Patient871031213_study_0, CG Dice=0.7408, PZ Dice=0.1579, prostate Dice=0.9032, CG Dist=3.6742, PZ Dist=4.4721, prostate Dist=1.0000
76: Patient913099765_study_0, CG Dice=0.6371, PZ Dice=0.1418, prostate Dice=0.8667, CG Dist=3.3541, PZ Dist=7.2284, prostate Dist=1.2247
77: Patient877767576_study_0, CG Dice=0.2044, PZ Dice=0.1514, prostate Dice=0.7393, CG Dist=13.9642, PZ Dist=7.6322, prostate Dist=3.0414
78: Patient982554660_study_0, CG Dice=0.0046, PZ Dice=0.4496, prostate Dice=0.5271, CG Dist=19.0853, PZ Dist=4.2426, prostate Dist=11.6297
79: Patient859950816_study_0, CG Dice=0.1008, PZ Dice=0.2381, prostate Dice=0.5020, CG Dist=24.0052, PZ Dist=6.9282, prostate Dist=11.5758
80: Patient947170572_study_0, CG Dice=0.4456, PZ Dice=0.1041, prostate Dice=0.7154, CG Dist=6.3443, PZ Dist=5.8523, prostate Dist=3.3541
81: Patient848809546_study_0, CG Dice=0.4730, PZ Dice=0.1244, prostate Dice=0.5820, CG Dist=6.9462, PZ Dist=10.7238, prostate Dist=9.7082
82: Patient801454842_study_0, CG Dice=0.5096, PZ Dice=0.0773, prostate Dice=0.7715, CG Dist=6.7454, PZ Dist=8.3066, prostate Dist=3.7417
83: Patient989809536_study_0, CG Dice=0.3847, PZ Dice=0.0603, prostate Dice=0.8486, CG Dist=6.8007, PZ Dist=7.2801, prostate Dist=1.5000
84: Patient923716667_study_0, CG Dice=0.4782, PZ Dice=0.2272, prostate Dice=0.6978, CG Dist=17.2409, PZ Dist=6.3640, prostate Dist=10.4881
85: Patient799300347_study_0, CG Dice=0.3295, PZ Dice=0.0568, prostate Dice=0.5837, CG Dist=13.3041, PZ Dist=7.8262, prostate Dist=8.3815
86: Patient805528367_study_0, CG Dice=0.4858, PZ Dice=0.0807, prostate Dice=0.8359, CG Dist=6.0000, PZ Dist=6.4031, prostate Dist=1.8028
87: Patient806991235_study_0, CG Dice=0.4081, PZ Dice=0.1574, prostate Dice=0.8315, CG Dist=5.2440, PZ Dist=7.1414, prostate Dist=1.5000
88: Patient909065182_study_0, CG Dice=0.8069, PZ Dice=0.2325, prostate Dice=0.8273, CG Dist=2.0616, PZ Dist=5.1962, prostate Dist=1.8028
89: Patient816101315_study_0, CG Dice=0.6430, PZ Dice=0.2098, prostate Dice=0.8828, CG Dist=6.1033, PZ Dist=4.3875, prostate Dist=1.0000
90: Patient962056378_study_0, CG Dice=0.2599, PZ Dice=0.2331, prostate Dice=0.5964, CG Dist=16.8003, PZ Dist=4.1231, prostate Dist=9.5525
91: Patient985916122_study_0, CG Dice=0.6781, PZ Dice=0.2131, prostate Dice=0.8297, CG Dist=4.0311, PZ Dist=5.5902, prostate Dist=2.0616
92: Patient897701819_study_0, CG Dice=0.6167, PZ Dice=0.1504, prostate Dice=0.8419, CG Dist=5.0990, PZ Dist=8.0777, prostate Dist=1.8028
93: Patient861626844_study_0, CG Dice=0.8082, PZ Dice=0.1341, prostate Dice=0.8447, CG Dist=2.2913, PZ Dist=6.7082, prostate Dist=1.5811
94: Patient832052752_study_0, CG Dice=0.3713, PZ Dice=0.2709, prostate Dice=0.8486, CG Dist=6.1847, PZ Dist=4.1231, prostate Dist=1.4142
95: Patient907231890_study_0, CG Dice=0.3782, PZ Dice=0.1072, prostate Dice=0.7879, CG Dist=10.7703, PZ Dist=7.8102, prostate Dist=3.6401
